Designator,Footprint,Quantity,Value,LCSC Part #,Mouser Part #
C1,0603,1,7.5n,C907758,GRM1885C1H752JA01J
"C10, C12, C32, C39, C45, C47, C48, C79",0603,8,1u,C15849,CC0603KRX7R9BB105
"C100, C107, C19, C23, C68, C71, C83, C84, C95, C96, C99",0603,11,0.1u,C1591,MLASH168SB7104KTNA01
"C101, C102, C103, C105, C97",1206,5,22u,C5448976,GGM31CD70J226KE02L
C104,0603,1,45p,C105622,CL10C470JB8NNNC
C106,0603,1,90n,C282075,0603N910J500CT
"C11, C13, C14, C15, C17, C18, C21, C22, C33, C40, C46, C5, C6, C7, C78, C8, C9, C93, C94",0603,19,0.1u,C14663,MLASH168SB7104KTNA01
"C16, C20, C4, C49, C50, C82, C89, C90, C92",0805,9,10u,C440198,GRM21BR61H106KE43L
"C2, C3",0603,2,26p,C92670,CC0603JRNPO9BN270
"C24, C25, C59",0805,3,10uF,C440198,GRM21BR61H106KE43L
"C26, C27, C66, C67",0603,4,0.1uF,C14663,CL10B104KB8NNNC
"C28, C30, C35, C37, C41, C43, C98",0805,7,4.7u,C105911,C0805B475K050T
"C29, C34, C36, C42, C91",0603,5,1u,C15849,CC0603KRX7R9BB105
"C31, C38, C44",0603,3,0.1n,C14665,KGM15AR71C101KT
"C51, C52, C53, C54, C85, C86, C87, C88",0603,8,0.1uF,C1591,MLASH168SB7104KTNA01
C55,0805,1,4.7u,C6962403,C0805B475K050T
"C56, C57",0603,2,100n,C6666325,MLASH168SB7104KTNA01
C58,1210,1,47u,C6870970,C1210C476M9PACTU 
"C60, C61, C62, C63, C64, C65",0603,6,1uF,C15849,CC0603KRX7R9BB105
"C69, C70",0603,2,0.22u,C107083,CC0603KRX7R9BB224
"C72, C73, C74, C75, C76, C77",0603,6,100pF,C14665,KGM15AR71C101KT
C80,0603,1,220n,C344195,CC0603KRX7R9BB224
C81,0603,1,10n,C100042,CC0603KRX7R9BB103
D1,TPD2EUSB30DRTR,1,TPD2EUSB30DRTR,C97502,TPD2EUSB30DRTR
D10,0603,1,ESP_LED1,C7371904,
D11,0603,1,ESP_LED2,C7371904,
"D12, D14, D15, D17, D18, D20, D21, D22",SODFL5226X100N,8,VSSAF522-M3/H,C6326606,VSSAF522-M3/H
"D13, D16, D19",0603,3,Contact,C84263,
"D2, D3, D6",0603,3,LED,C125103,
"D23, D30",D_SOD-323_HandSoldering,2,SBA130CH-AU_R1_000A1,C191023,SBA130CH-AU_R1_000A1 
D24,D_SMB,1,SMBJ24A-E3_52,C435936,SMBJ24A-E3_52
"D25, D26",D_SMB,2,SMBJ10A-E3_52,C1973203,SMBJ10A-E3_52
D27,0603,1,FAULT,C84263,
D28,D_SMB,1,SMBJ15CA,C669039,SMBJ15CA
D29,SODFL5026X125N,1,SMAF4758A,C183490,SMAF4758A-TP
D4,D_SOD-323,1,TVS,C725495,ESDLC5V0D3B-TP 
D5,RGB_LED,1,RGB_LED,C264519,
D7,D_SOD-123,1,1N5819HW-7-F,C82544,1N5819HW-7-F
D8,SOT-143,1,SP0503BAHT,C7074,SP0503BAHT
D9,0603,1,ESP_PWR,C7371904,
"ESTOP1, ESTOP2, ESTOP3",0603,3,LED,C84263,
"F1, F2",Fuse-3557-2,2,5A,C3205238,3557-20
"FAN1, FAN2",Molex_Nano-Fit_105309-xx04_1x04_P2.50mm_Vertical,2,Conn_01x04,,105309-1104
"FB1, FB2",0603,2,FerriteBead,C2649096,MFBW1V2012-121-R
"IC1, IC2, IC6",TCAN3413DR,3,TCAN3413DR,C22433320,TCAN3413DR
IC3,CYPD3177-24LQXQ,1,CYPD3177-24LQXQ,C2959321,CYPD3177-24LQXQ
IC4,SOP65P640X120-16N,1,BQ79600PWRQ1,C2869947,BQ79600PWRQ1
IC5,LM74502DDFR,1,LM74502DDFR,C3236215,LM74502DDFR
IC7,TPS552892QWRYQRQ1,1,TPS552872RYQR,TPS552872RYQR,TPS552872RYQR
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,,USB4105-GF-A
J10,Molex_Nano-Fit_105309-xx02_1x02_P2.50mm_Vertical,1,Low SIde Conn,,105313-1102
J11,SWD_Conn,1,SWD_Header,C17492485,87832-0406
J13,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C3020560,USB4105-GF-A
J14,Molex_Nano-Fit_105309-xx02_1x02_P2.50mm_Vertical,1,Conn_01x02,,105309-1102
"J15, J16, J17",Molex_Nano-Fit_105309-xx04_1x04_P2.50mm_Vertical,3,Contactor Connector,,105309-1104
J2,Molex_Nano-Fit_105309-xx04_1x04_P2.50mm_Vertical,1,ELCON CAN DEBUG,,105309-1104
J3,Molex_Nano-Fit_105309-xx05_1x05_P2.50mm_Vertical,1,ELCON CAN,,105309-1105
J4,Molex_Nano-Fit_105310-xx12_2x06_P2.50mm_Vertical,1,Conn_02x06_Counter_Clockwise,,105310-1112
J5,Molex_Nano-Fit_105309-xx03_1x03_P2.50mm_Vertical,1,CAR CAN IN,,105309-1103
J6,Molex_Nano-Fit_105309-xx03_1x03_P2.50mm_Vertical,1,CAR CAN OUT,,105309-1103
J7,Molex_Nano-Fit_105309-xx04_1x04_P2.50mm_Vertical,1,BPS CAN DEBUG,,105309-1104
J8,Molex_Nano-Fit_105309-xx03_1x03_P2.50mm_Vertical,1,BPS CAN,,105309-1103
J9,Molex_Nano-Fit_105309-xx03_1x03_P2.50mm_Vertical,1,High Side Conn,,105309-1103
L1,74439369082,1,8.2u,,74439369082
L2,74439369047,1,4.7u,,74439369047
"Q1, Q2, Q3",SOT-23,3,SQ2315CES-T1_GE3,C10487,SQ2315CES-T1_GE3
"Q10, Q11",SI7997DP-T1-GE3,2,SI7997DP-T1-GE3,C913432,SI7997DP-T1-GE3
"Q12, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,7,IRLML0030,C67272,IRLML0030
"Q13, Q14",LFPAK56,2,PSMN012-100YS,C20443035,PSMN012-100YS
"R1, R44, R63, R73",0603,4,0,C844719,CRCW06030000Z0EAHP
"R10, R108, R109, R125, R47, R51, R52, R66, R70, R71, R76, R80, R81, R85, R86, R88",0603,16,10k,C25804,CR0603-FX-1002ELF
"R100, R102, R23, R24, R93, R94, R99",0603,7,5.1k,C23186,CRCW06035K10FKEBC
"R101, R14, R15, R16, R18, R28, R29, R30, R95, R96",0603,10,1k,C21190,CRCW06031K00FKEI 
"R103, R98",0603,2,49.9k,C4117233,CR0603-FX-4992ELF
R104,0603,1,4.7k,C23162,RC0603FR-134K7L
"R105, R106",0603,2,2.2k,C844925,CRCW06032K20FKEAC
R107,0603,1,10k,C25804,CR0603-FX-1002ELF
"R11, R119, R17, R25, R26, R27, R31, R32, R33, R37, R38, R39, R82, R84, R97",0603,15,10k,C25804,CR0603-FX-1002ELF
"R110, R111, R128, R141",0603,4,100k,C25803,CRCW0603100KFKEE 
R112,0603,1,10,C22859,CRCW060310R0FKEA
"R113, R114, R45, R5, R50, R6, R64, R69, R74, R79",0603,10,1k,C21190,CRCW06031K00FKEI 
"R115, R116, R117, R118",0603,4,51,C2907050,CR0603-JW-510ELF
"R12, R13",0603,2,22,C2930077,RC0603FR-7W22RL
R120,0603,1,33,C844927,RT0603BRD0733RL
R121,0603,1,100k,C25803,CRCW0603100KFKEE 
R122,0603,1,7.32k,C2933256,CRCW06037K32FKEAC
R123,0603,1,100k,C25803,CRCW0603100KFKEE 
R124,0603,1,15.8k,C2960716,AC0603FR-0715K8L
"R126, R132, R53",0603,3,57.6k,C2933240,CR0603-FX-5762ELF
"R127, R129, R131, R133, R4, R54, R56, R58, R60",0603,9,5k,C862232,RT0603BRE075KL
"R130, R57",0603,2,26.1k,C321818,CR0603-FX-2612ELF
"R134, R61",0603,2,22.1k,C2960862,RT0603FRE0722K1L
"R135, R136, R19, R20, R21, R22",0603,6,60,C166918,RT0603FRE0760R4L
R137,0603,1,50k,C4117233,CR0603-FX-4992ELF
R139,0603,1,1.455k,C22841,CR0603-FX-1431ELF
R140,1210,1,12.5m,C7467372,ERJ-8CWJR013V
R142,0603,1,11.1k,C1854558,RNCF0603BTE11K1
R3,0603,1,30.1k,C2930090,RC0603FR-1330K1L
"R34, R35, R36",0603,3,1k,C21190,CRCW06031K00FKEI 
"R40, R41, R42, R83, R87",0603,5,33k,C4216,CRCW060333K0FKEA
"R43, R62, R72",0603,3,66.67k,C2933250,AC0603FR-0766K5L
"R46, R65, R75",0603,3,120k,C2906987,RK73B1JTTD124J
"R48, R67, R77",0603,3,4.3k,C54920924,CR0603-FX-4301ELF
"R49, R68, R78",0603,3,1,C2907004,RK73B1JTTD1R0J
R55,0603,1,67.3k,C861518,RT0603BRD0767K3L
R59,0603,1,37.4k,C23033,RC0603FR-0737K4L
R7,0603,1,16k,C4210,CRCW060316K0FKEA
R8,0603,1,4.7k,C23162,RC0603FR-134K7L
R89,0603,1,100k,C25803,CRCW0603100KFKEE 
R9,0603,1,18k,C2907001,AC0603FR-0718KL
R90,0603,1,19.1k,C844132,CRCW060319K1FKEA
RESET1,TL3365AF180QG,1,Reset,C2886926,TL3365AF180QG
SW1,BootSW,1,SW_SPDT,-,4.50406E+11
SW2,BootSW,1,BOOT Switch,,4.50406E+11
SW3,TL3365AF180QG,1,RESET Button,C2886926,TL3365AF180QG
"T1, T2",HMU1228NL_PUL,2,HMU1228NL,C6631737,HMU1228NL
U1,100PinMCU,1,STM32G473VETx,C730122,STM32G473VETx
"U10, U16",SOT-223-3_TabPin2,2,MCP1826S,C126055,MCP1826S
"U11, U15",TPS2117DRLR,2,TPS2117DRLR,C22399676,TPS2117DRLR
U12,DDC0006A-MFG,1,LMR51635XDDCR,C42432812,LMR51635XDDCR
"U13, U14",SOT23_NXP,2,PESD5V0L2BT,C12324,PESD5V0L2BT
"U17, U6",TPS2121RUXR,2,TPS2121RUXR,C485916,TPS2121RUXR
"U18, U2, U3",CDSOT23-T24CAN,3,CDSOT23-T24CAN,C2959841,CDSOT23-T24CAN
U4,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1,C5736265,ESP32-C6-MINI-1
"U5, U7, U8",PW14_TEX,3,DRV110APWR,C2653796,DRV110APWR
U9,QFN-16-1EP_1.8x2.6mm_P0.4mm_EP0.7x1.5mm,1,EMC2305-1-AP-TR,C621415,EMC2305-1-AP-TR
Y1,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,1,Crystal,C144380,ABM3-8.000MHZ-D2Y-T
