Designator,Mid X,Mid Y,Rotation,Layer
C1,172.15,-73.3,90.0,bottom
C10,222.0,-84.6,270.0,top
C100,166.65,-81.0,270.0,bottom
C101,176.45,-81.4,90.0,bottom
C102,178.95,-81.4,90.0,bottom
C103,181.45,-81.4,90.0,bottom
C104,170.35,-85.2,270.0,bottom
C105,183.95,-81.4,90.0,bottom
C106,171.95,-88.7,270.0,bottom
C107,174.35,-80.7,90.0,bottom
C11,212.3525,-93.245,180.0,top
C12,220.4,-84.6,270.0,top
C13,200.425,-73.5475,0.0,top
C14,198.1475,-90.97,180.0,top
C15,223.6,-84.6,270.0,top
C16,181.555,-89.2375,270.0,top
C17,179.7,-89.2,270.0,top
C18,178.1,-89.2,270.0,top
C19,145.0,-124.8,270.0,top
C2,205.38,-100.0375,180.0,top
C20,181.5,-95.7,270.0,top
C21,178.1,-95.7,270.0,top
C22,179.7,-95.7,270.0,top
C23,171.2,-100.3,180.0,top
C24,205.4225,-125.325,0.0,top
C25,215.785,-103.5725,180.0,top
C26,217.1025,-105.7,0.0,top
C27,203.86,-105.1975,90.0,top
C28,155.3,-98.6,90.0,top
C29,153.8,-109.8,0.0,top
C3,208.84,-100.0375,0.0,top
C30,153.2,-102.1,90.0,top
C31,142.4,-97.5,270.0,top
C32,135.0,-110.0,0.0,top
C33,135.0,-106.8,0.0,top
C34,156.663809,-63.676309,180.0,bottom
C35,155.3,-62.6,90.0,top
C36,153.8,-73.8,0.0,top
C37,153.2,-66.1,90.0,top
C38,142.4,-61.5,270.0,top
C39,135.0175,-74.005,0.0,top
C4,202.3375,-93.48,180.0,top
C40,135.0,-70.8,0.0,top
C41,155.3,-80.7,90.0,top
C42,153.8,-91.9,0.0,top
C43,153.2,-84.2,90.0,top
C44,142.4,-79.6,270.0,top
C45,135.0,-92.1,0.0,top
C46,135.0,-88.9,0.0,top
C47,139.7,-44.6,0.0,top
C48,139.7,-46.2,0.0,top
C49,209.3075,-116.68,0.0,bottom
C5,217.2,-84.6,270.0,top
C50,209.2925,-107.33,0.0,bottom
C51,214.280262,-107.2825,0.0,bottom
C52,215.2,-101.7,90.0,bottom
C53,212.6,-105.6,0.0,bottom
C54,217.1,-107.25,0.0,top
C55,181.7,-92.35,180.0,bottom
C56,181.5,-90.35,180.0,bottom
C57,174.35,-93.4,0.0,bottom
C58,179.45,-108.25,270.0,bottom
C59,215.1,-55.1625,90.0,bottom
C6,217.49,-78.3475,270.0,top
C60,208.2,-46.1125,90.0,bottom
C61,209.4,-67.6125,270.0,bottom
C62,199.4,-48.0125,0.0,bottom
C63,203.2,-60.5125,0.0,bottom
C64,188.9,-59.0125,180.0,bottom
C65,188.895,-63.8025,0.0,bottom
C66,188.895,-62.2025,0.0,bottom
C67,188.895,-60.6025,0.0,bottom
C68,198.9475,-102.26,0.0,top
C69,199.0975,-100.345,0.0,top
C7,218.8,-84.6,270.0,top
C70,196.3,-109.7,270.0,top
C71,197.9,-109.7,270.0,top
C72,176.1,-111.0,270.0,top
C73,167.3,-111.0,270.0,top
C74,188.8,-111.0,270.0,top
C75,180.2,-111.0,270.0,top
C76,184.41,-116.5225,90.0,bottom
C77,171.715,-116.5225,90.0,bottom
C78,156.55,-39.8,90.0,bottom
C79,141.85,-46.95,180.0,bottom
C8,220.9075,-98.5025,270.0,top
C80,145.5625,-50.55,0.0,bottom
C81,141.85,-48.65,0.0,bottom
C82,149.95,-56.25,270.0,bottom
C83,148.05,-56.45,90.0,bottom
C84,140.65,-52.65,180.0,bottom
C85,182.1,-107.45,270.0,bottom
C86,188.1375,-106.5,180.0,bottom
C87,184.2,-103.7,90.0,bottom
C88,187.15,-109.05,270.0,bottom
C89,195.0,-110.95,0.0,bottom
C9,207.3475,-73.54,0.0,top
C90,195.0,-101.05,0.0,bottom
C91,173.225,-50.0375,0.0,bottom
C92,181.6,-82.2,270.0,top
C93,179.69,-82.1875,270.0,top
C94,178.08,-82.1875,270.0,top
C95,150.6,-115.8,0.0,top
C96,174.35,-77.2,270.0,bottom
C97,176.45,-76.5,270.0,bottom
C98,166.85,-85.1,270.0,bottom
C99,166.65,-77.4625,270.0,bottom
D1,202.585,-70.3,90.0,top
D10,217.07,-124.57,180.0,top
D11,217.07,-122.77,180.0,top
D12,150.4,-98.9,90.0,top
D13,139.0,-97.5,90.0,top
D14,134.8,-98.9,270.0,top
D15,150.4,-62.9,90.0,top
D16,139.0,-61.5,90.0,top
D17,134.8,-62.9,270.0,top
D18,150.4,-81.0,90.0,top
D19,139.0,-79.6,90.0,top
D2,175.625,-72.05,0.0,top
D20,134.8,-81.0,270.0,top
D21,134.56,-45.4125,90.0,bottom
D22,149.76,-41.8625,0.0,top
D23,208.29,-119.8825,270.0,bottom
D24,211.7,-53.3125,90.0,bottom
D25,198.9,-52.7625,90.0,bottom
D26,198.8,-66.1625,90.0,bottom
D27,203.1875,-56.8,0.0,top
D28,151.1,-40.5,180.0,bottom
D29,140.3375,-44.25,0.0,bottom
D3,175.6125,-73.85,0.0,top
D30,190.1,-108.4,0.0,bottom
D4,194.9425,-91.34,90.0,top
D5,216.7475,-92.815,0.0,top
D6,193.2,-87.9,270.0,top
D7,200.935,-125.3525,180.0,top
D8,197.3625,-120.32,0.0,top
D9,220.077224,-101.817776,0.0,top
ESTOP1,189.4,-61.5,0.0,top
ESTOP2,189.4,-67.6,0.0,top
ESTOP3,189.4,-54.6,0.0,top
E_JP1,178.0,-59.73,180.0,top
E_JP2,174.0,-59.73,180.0,top
E_JP3,170.0,-59.73,180.0,top
F1,163.85,-58.285,270.0,top
F2,196.895,-44.1225,180.0,top
FAN1,142.5225,-38.075,90.0,top
FAN2,128.285,-51.42,180.0,top
FB1,217.2,-88.1,270.0,top
FB2,218.13,-82.0425,180.0,top
H1,220.0,-130.0,0.0,top
H2,220.0,-40.0,0.0,top
H3,130.0,-40.0,0.0,top
H4,130.0,-130.0,0.0,top
IC1,173.5,-89.2,180.0,top
IC2,173.4,-95.7,180.0,top
IC3,193.4,-60.8125,270.0,bottom
IC4,194.33,-103.4475,270.0,top
IC5,145.1125,-53.325,180.0,bottom
IC6,173.5,-82.2,180.0,top
IC7,170.688,-79.24,270.0,bottom
J1,221.5,-63.0025,90.0,top
J10,171.65,-131.655,270.0,top
J11,191.331401,-73.2441,0.0,top
J12,184.7475,-74.235,180.0,top
J13,196.8675,-131.505,0.0,top
J14,181.25,-38.845,90.0,top
J15,128.285,-102.32,180.0,top
J16,128.285,-66.32,180.0,top
J17,128.285,-84.32,180.0,top
J2,160.785,-117.72,180.0,top
J3,160.745,-101.1,180.0,top
J4,165.85,-40.22,90.0,top
J5,145.4,-131.655,270.0,top
